add;0x00;0x20
addu;0x00;0x21
and;0x00;0x24
div;0x00;0x1A
divu;0x00;0x1B
jalr;0x00;0x09
jr;0x00;0x08
mfhi;0x00;0x10
mflo;0x00;0x12
mthi;0x00;0x11
mtlo;0x00;0x13
mult;0x00;0x18
multu;0x00;0x19
nor;0x00;0x27
or;0x00;0x25
sll;0x00;0x00
sllv;0x00;0x04
slt;0x00;0x2A
sltu;0x00;0x2B
sra;0x00;0x03
srav;0x00;0x07
srl;0x00;0x02
srlv;0x00;0x06
sub;0x00;0x22
subu;0x00;0x23
xor;0x00;0x26
